,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,Age_of_House,Years_last_renovation,basement,biggerliving,biggerlot,distance_from_a_city,distance_from_airport
0,2014-12-09,538000.0,-0.19997730936747624,0.47751412301970997,0.9852177708563995,0.1435701975697,2.0,0.0,0.0,3,7,98125,0.7319224251049115,-0.35885445245781517,1,1,0,0.08779549791297935,0.9221172199470772
1,2015-02-25,180000.0,-1.6955541920706811,-1.682016442556877,-2.1955234455993033,0.6269385397170255,1.0,0.0,0.0,3,6,98028,1.0396046821818536,1.0812587196709185,0,0,1,0.2849953279385473,1.0475107414773188
2,2014-12-09,604000.0,0.8611513759946571,1.243619783167301,0.2701433887201974,-0.411357690921667,1.0,0.0,0.0,5,7,98136,0.4309144833321964,0.4801369146073053,1,1,0,-0.17205551206008282,-0.9153946793098368
3,2015-02-18,510000.0,-0.19997730936747624,0.16385450037900726,-0.1366643399553733,0.3075868588465876,1.0,0.0,0.0,3,8,98074,-0.24713075605163587,-0.1894775772696547,0,0,1,-0.027710348952148935,0.6995127246436377
4,2014-06-27,257500.0,-0.19997730936747624,0.47751412301970997,-0.08224949466728415,0.05341702082740763,2.0,0.0,0.0,3,7,98003,-0.6156457023350773,-0.5534104451250437,0,0,0,1.5453494691571126,-0.3622019796373472
5,2015-01-15,291850.0,-0.19997730936747624,-0.6022511597685836,-1.352001715008323,0.5830100654167926,1.0,0.0,0.0,3,7,98198,0.47832493954563154,0.5269578738929479,0,0,0,0.9343613863694091,-2.752469225920375
6,2015-04-15,229500.0,-0.19997730936747624,-1.682016442556877,0.015923039695743414,0.19000287373951175,1.0,0.0,0.0,3,7,98146,0.5464091789684451,0.5941955606103804,1,0,0,-0.16928732543721622,-1.4607886910978232
7,2015-03-12,323000.0,-0.19997730936747624,0.7580922164462959,0.17416821210071282,-0.004586744005440933,2.0,0.0,0.0,3,7,98038,-1.1275554362197582,-1.0589551439618954,0,0,0,1.3821639041936797,0.32009526213463213
8,2014-05-27,468000.0,-1.6955541920706811,-1.682016442556877,-1.114090581259458,-0.13825005881615302,1.0,0.0,0.0,4,7,98115,0.8946588207838228,0.9381151007909877,1,0,0,-0.31351098500804525,0.7103158525548745
9,2014-05-28,310000.0,-0.19997730936747624,-1.682016442556877,-0.5618625716086023,1.6578015309994458,1.5,0.0,0.0,4,7,98028,1.1281275887921618,1.1686809412076407,0,0,1,0.47430066372455587,1.1524550885116782
10,2014-10-07,400000.0,-0.19997730936747624,-0.19174345129448,-0.674981023386139,0.578220593076971,1.0,0.0,0.0,4,7,98074,0.10420934503976256,0.15749399572171266,0,0,0,-0.03010075384996909,0.6784991155185413
11,2015-03-12,530000.0,1.684226728709843,0.16385450037900726,0.06003035885131755,-0.4569839030835155,1.5,0.0,0.0,3,7,98107,1.4664592393121225,1.5028058094165724,0,1,0,-0.5660643269606008,0.624034177480958
12,2014-07-31,395000.0,-0.19997730936747624,0.16385450037900726,0.17416821210071282,1.1352291245304034,2.0,0.0,0.0,3,7,98019,-0.5635860236471424,-0.501998071337746,0,0,1,0.9344504612282877,1.4085896875467394
13,2014-05-29,485000.0,0.8611513759946571,-1.682016442556877,-0.265422876017082,-0.6372820577768403,1.5,0.0,0.0,4,7,98103,1.2765140970402118,1.3152224262746375,0,0,0,-0.950276970039496,0.5317799943857281
14,2014-12-05,189000.0,-1.6955541920706811,-1.682016442556877,-1.0246234880801341,0.6042991442040321,1.0,0.0,0.0,4,7,98002,1.2111140883793292,1.250635594859079,0,1,1,1.5613379831849177,-0.1946515076723202
15,2015-04-24,230000.0,-0.19997730936747624,-1.682016442556877,-0.9168931628593762,0.5926965783953818,1.0,0.0,0.0,4,7,98003,0.3306894082112069,0.38115802816683836,0,0,1,1.419193203132355,-0.7374744651987143
16,2014-05-14,385000.0,0.8611513759946571,-0.19174345129448,-0.2326395165748602,-0.4173614858242498,1.0,0.0,0.0,4,7,98133,0.8067225889496633,0.8512722593742189,1,1,0,-0.18755395085215792,0.8070368399347525
17,2014-07-03,285000.0,1.684226728709843,0.7580922164462959,0.6576457899178065,-0.06516508498932333,2.0,0.0,0.0,3,8,98092,-0.6156457023350773,-0.5534104451250437,0,1,0,1.4740364035834428,-0.20435264927959887
18,2014-11-20,329000.0,-0.19997730936747624,0.47751412301970997,0.8590251333901455,-0.018350499244388807,2.0,0.0,0.0,4,8,98030,-0.16902872070465655,-0.11234665491268997,0,1,0,1.1998001761758237,-0.6933615164275145
19,2014-11-03,233000.0,-0.19997730936747624,0.16385450037900726,-0.0899546869950748,-0.5050000718597542,1.5,0.0,0.0,5,6,98002,0.9115679877889828,0.9548140208844497,0,1,0,1.582488312543607,-0.17551111105784073
20,2014-06-26,937000.0,-0.19997730936747624,-0.19174345129448,0.8590251333901455,-1.3393720182891662,2.0,0.0,0.0,3,8,98119,1.2892161237263084,1.3277665172160438,1,1,0,-1.692412549575333,0.3290090178283925
21,2014-12-01,667000.0,-0.19997730936747624,-1.682016442556877,-0.6178157594045635,-2.136061931713049,1.5,0.0,0.0,5,8,98112,1.362976857870781,1.4006101176806771,0,0,0,-2.5268397911463687,0.1381012588142983
22,2014-06-24,438000.0,-0.19997730936747624,-0.19174345129448,-0.4007872390511586,-0.046263322228467484,1.0,0.0,0.0,3,7,98115,0.7884139999282908,0.8331913175396131,1,0,1,-0.27089200005378616,0.7454711507185142
23,2015-03-02,719000.0,0.8611513759946571,0.7580922164462959,0.9852177708563995,0.1292297213735535,2.0,0.0,0.0,3,8,98052,-1.2936909417189089,-1.2230249370020032,0,0,1,0.10167388113367899,1.0220489874739547
24,2014-11-10,580500.0,-0.19997730936747624,0.7580922164462959,0.7151431949227326,-0.7531229294541417,2.0,0.0,0.0,3,8,98027,-1.1275554362197582,-1.0589551439618954,0,0,0,0.08590340337023582,0.1837501467556714
25,2014-12-01,280000.0,-1.6955541920706811,-0.6022511597685836,-1.0467075206985306,-2.4700818112266276,3.0,0.0,0.0,3,7,98133,-1.2936909417189089,-1.2230249370020032,0,0,0,0.17527462602449806,0.9763749382803374
26,2014-06-24,687500.0,0.8611513759946571,-0.19174345129448,0.7264938640232471,-0.411357690921667,1.5,0.0,0.0,4,7,98117,1.0992709814543977,1.1401831340741089,1,1,0,-0.4875556149983052,0.6839503035870488
27,2014-11-10,535000.0,-0.19997730936747624,-1.682016442556877,-1.2783496836535573,-1.1765462894548455,1.5,0.0,0.0,4,8,98117,1.0992709814543977,1.1401831340741089,0,0,0,-0.3445055868763309,0.737212395292472
